Freq.	V(n003)	V(n002)	V(n001)	I(C1)	I(L1)	I(R2)	I(R1)	I(V1)
1.53493948842113e+05	1.46832792280881e-05,-2.71395132034561e-03	9.99998761264889e-01,2.28958802296722e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919202723596e-09,1.64429276343843e-11	1.33484387010903e-02,-2.46722847302502e+00	1.33484356618983e-02,-2.46722847304147e+00	-1.33484387013599e-02,2.46722847302502e+00	-1.33484387006320e-02,2.46722847302502e+00
1.53847788937711e+05	1.46158176383798e-05,-2.70770976966791e-03	9.99998766956193e-01,2.28432242385008e-04	1.00000000000000e+00,8.67361737988404e-19	3.03919243596337e-09,1.64051121392645e-11	1.32871099831741e-02,-2.46155433604533e+00	1.32871069439817e-02,-2.46155433606173e+00	-1.32871099838723e-02,2.46155433604533e+00	-1.32871099831391e-02,2.46155433604533e+00
1.54202444718971e+05	1.45486659885007e-05,-2.70148257165173e-03	9.99998772621351e-01,2.27906893316010e-04	1.00000000000000e+00,8.67361737988404e-19	3.03919284281295e-09,1.63673836021430e-11	1.32260630287390e-02,-2.45589324693975e+00	1.32260599895461e-02,-2.45589324695612e+00	-1.32260630297426e-02,2.45589324693975e+00	-1.32260630289238e-02,2.45589324693975e+00
1.54557918066242e+05	1.44818228545718e-05,-2.69526969330413e-03	9.99998778260481e-01,2.27382752306324e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919324779334e-09,1.63297418231266e-11	1.31652965433494e-02,-2.45024517571470e+00	1.31652935041562e-02,-2.45024517573103e+00	-1.31652965445081e-02,2.45024517571470e+00	-1.31652965446847e-02,2.45024517571470e+00
1.54914210864209e+05	1.44152868192548e-05,-2.68907110170792e-03	9.99998783873703e-01,2.26859816578937e-04	1.00000000000000e+00,-8.67361737988404e-19	3.03919365091313e-09,1.62921866027808e-11	1.31048092385162e-02,-2.44461009244546e+00	1.31048061993225e-02,-2.44461009246175e+00	-1.31048092360990e-02,2.44461009244546e+00	-1.31048092353012e-02,2.44461009244546e+00
1.55271325001901e+05	1.43490564717218e-05,-2.68288676402150e-03	9.99998789461136e-01,2.26338083363215e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919405218084e-09,1.62547177421292e-11	1.30445998316684e-02,-2.43898796727602e+00	1.30445967924744e-02,-2.43898796729228e+00	-1.30445998303907e-02,2.43898796727602e+00	-1.30445998311188e-02,2.43898796727602e+00
1.55629262372702e+05	1.42831304076259e-05,-2.67671664747869e-03	9.99998795022898e-01,2.25817549894879e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919445160501e-09,1.62173350426524e-11	1.29846670461271e-02,-2.43337877041896e+00	1.29846640069326e-02,-2.43337877043518e+00	-1.29846670448843e-02,2.43337877041896e+00	-1.29846670442930e-02,2.43337877041896e+00
1.55988024874359e+05	1.42175072290707e-05,-2.67056071938856e-03	9.99998800559108e-01,2.25298213416005e-04	1.00000000000000e+00,-8.67361737988404e-19	3.03919484919410e-09,1.61800383062868e-11	1.29250096110773e-02,-2.42778247215523e+00	1.29250065718825e-02,-2.42778247217141e+00	-1.29250096114370e-02,2.42778247215523e+00	-1.29250096106261e-02,2.42778247215524e+00
1.56347614408995e+05	1.41521855445816e-05,-2.66441894713522e-03	9.99998806069883e-01,2.24780071175002e-04	1.00000000000000e+00,8.67361737988404e-19	3.03919524495653e-09,1.61428273354235e-11	1.28656262615421e-02,-2.42219904283406e+00	1.28656232223469e-02,-2.42219904285020e+00	-1.28656262619062e-02,2.42219904283406e+00	-1.28656262622826e-02,2.42219904283406e+00
1.56708032883120e+05	1.40871639690753e-05,-2.65829129817773e-03	9.99998811555339e-01,2.24263120426590e-04	1.00000000000000e+00,0.00000000000000e+00	3.03919563890070e-09,1.61057019329077e-11	1.28065157383550e-02,-2.41662845287274e+00	1.28065126991594e-02,-2.41662845288884e+00	-1.28065157401128e-02,2.41662845287274e+00	-1.28065157405217e-02,2.41662845287274e+00
